station_id,station_name,latitude,longitude,date,variable,value,unit,timestamp_extraction
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,ws_max_daily,20.7,m/s,2026-06-04T07:10:05.666716
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,ws_mean_daily,0.0,m/s,2026-06-04T07:10:04.544511
0PU08,TORRETTA,41.542221,15.173889,2026-06-03,ws_mean_daily,5.8,m/s,2026-06-04T07:10:04.544516
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,precip_sum_daily,0.0,mm,2026-06-04T07:10:02.076122
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,rh_max_daily,96.0,%,2026-06-04T07:10:00.566658
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,rh_mean_daily,85.0,%,2026-06-04T07:09:59.546891
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,rh_min_daily,69.0,%,2026-06-04T07:09:58.271865
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,rs_sum_daily,22151.0,W/m²,2026-06-04T07:10:03.059968
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,tair_max_daily,28.1,°C,2026-06-04T07:09:57.318708
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,tair_mean_daily,23.0,°C,2026-06-04T07:09:56.363475
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,tair_min_daily,19.8,°C,2026-06-04T07:09:55.404031
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,ws_max_daily,7.8,m/s,2026-06-04T07:10:05.666723
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,ws_max_daily,10.8,m/s,2026-06-04T07:10:05.666729
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,ws_mean_daily,1.0,m/s,2026-06-04T07:10:04.544520
0PU10,FRASSANITO,40.237221,18.441389,2026-06-03,ws_mean_daily,2.3,m/s,2026-06-04T07:10:04.544525
0PU11,BADESSA,40.470554,18.097221,2026-06-03,precip_sum_daily,0.0,mm,2026-06-04T07:10:02.076126
0PU11,BADESSA,40.470554,18.097221,2026-06-03,rh_max_daily,88.0,%,2026-06-04T07:10:00.566661
0PU11,BADESSA,40.470554,18.097221,2026-06-03,rh_mean_daily,63.0,%,2026-06-04T07:09:59.546894
0PU11,BADESSA,40.470554,18.097221,2026-06-03,rh_min_daily,33.0,%,2026-06-04T07:09:58.271868
0PU11,BADESSA,40.470554,18.097221,2026-06-03,rs_sum_daily,25096.0,W/m²,2026-06-04T07:10:03.059972
0PU11,BADESSA,40.470554,18.097221,2026-06-03,tair_max_daily,31.8,°C,2026-06-04T07:09:57.318711
0PU11,BADESSA,40.470554,18.097221,2026-06-03,tair_mean_daily,24.9,°C,2026-06-04T07:09:56.363486
0PU11,BADESSA,40.470554,18.097221,2026-06-03,tair_min_daily,19.5,°C,2026-06-04T07:09:55.404037
0PU11,BADESSA,40.470554,18.097221,2026-06-03,ws_max_daily,7.2,m/s,2026-06-04T07:10:05.666736
0PU11,BADESSA,40.470554,18.097221,2026-06-03,ws_max_daily,10.5,m/s,2026-06-04T07:10:05.666741
0PU11,BADESSA,40.470554,18.097221,2026-06-03,ws_mean_daily,1.9,m/s,2026-06-04T07:10:04.544530
0PU11,BADESSA,40.470554,18.097221,2026-06-03,ws_mean_daily,4.2,m/s,2026-06-04T07:10:04.544534
0PU12,CONTE,39.981945,18.067499,2026-06-03,precip_sum_daily,0.2,mm,2026-06-04T07:10:02.076142
0PU12,CONTE,39.981945,18.067499,2026-06-03,rh_max_daily,92.0,%,2026-06-04T07:10:00.566664
0PU12,CONTE,39.981945,18.067499,2026-06-03,rh_mean_daily,77.0,%,2026-06-04T07:09:59.546897
0PU12,CONTE,39.981945,18.067499,2026-06-03,rh_min_daily,50.0,%,2026-06-04T07:09:58.271872
0PU12,CONTE,39.981945,18.067499,2026-06-03,rs_sum_daily,26113.0,W/m²,2026-06-04T07:10:03.059976
0PU12,CONTE,39.981945,18.067499,2026-06-03,tair_max_daily,28.6,°C,2026-06-04T07:09:57.318714
0PU12,CONTE,39.981945,18.067499,2026-06-03,tair_mean_daily,23.2,°C,2026-06-04T07:09:56.363494
0PU12,CONTE,39.981945,18.067499,2026-06-03,tair_min_daily,19.2,°C,2026-06-04T07:09:55.404043
0PU12,CONTE,39.981945,18.067499,2026-06-03,ws_max_daily,7.1,m/s,2026-06-04T07:10:05.666748
0PU12,CONTE,39.981945,18.067499,2026-06-03,ws_max_daily,10.5,m/s,2026-06-04T07:10:05.666753
0PU12,CONTE,39.981945,18.067499,2026-06-03,ws_mean_daily,1.4,m/s,2026-06-04T07:10:04.544539
0PU12,CONTE,39.981945,18.067499,2026-06-03,ws_mean_daily,4.0,m/s,2026-06-04T07:10:04.544545
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,precip_sum_daily,0.0,mm,2026-06-04T07:10:02.076147
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,rh_max_daily,94.0,%,2026-06-04T07:10:00.566670
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,rh_mean_daily,77.0,%,2026-06-04T07:09:59.546900
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,rh_min_daily,46.0,%,2026-06-04T07:09:58.271875
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,rs_sum_daily,24353.0,W/m²,2026-06-04T07:10:03.059991
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,tair_max_daily,29.1,°C,2026-06-04T07:09:57.318717
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,tair_mean_daily,22.7,°C,2026-06-04T07:09:56.363501
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,tair_min_daily,16.1,°C,2026-06-04T07:09:55.404050
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,ws_max_daily,10.4,m/s,2026-06-04T07:10:05.666759
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,ws_max_daily,6.8,m/s,2026-06-04T07:10:05.666764
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,ws_mean_daily,1.9,m/s,2026-06-04T07:10:04.544554
0PU13,TORRICELLA,40.343334,17.487778,2026-06-03,ws_mean_daily,3.7,m/s,2026-06-04T07:10:04.544560
0PU14,TAFURI,40.680832,16.867779,2026-06-03,precip_sum_daily,1.2,mm,2026-06-04T07:10:02.076153
0PU14,TAFURI,40.680832,16.867779,2026-06-03,rh_max_daily,92.0,%,2026-06-04T07:10:00.566673
0PU14,TAFURI,40.680832,16.867779,2026-06-03,rh_mean_daily,75.0,%,2026-06-04T07:09:59.546905
0PU14,TAFURI,40.680832,16.867779,2026-06-03,rh_min_daily,50.0,%,2026-06-04T07:09:58.271879
0PU14,TAFURI,40.680832,16.867779,2026-06-03,rs_sum_daily,25124.0,W/m²,2026-06-04T07:10:03.060000
0PU14,TAFURI,40.680832,16.867779,2026-06-03,tair_max_daily,27.9,°C,2026-06-04T07:09:57.318723
0PU14,TAFURI,40.680832,16.867779,2026-06-03,tair_mean_daily,20.4,°C,2026-06-04T07:09:56.363509
0PU14,TAFURI,40.680832,16.867779,2026-06-03,tair_min_daily,13.4,°C,2026-06-04T07:09:55.404056
0PU14,TAFURI,40.680832,16.867779,2026-06-03,ws_max_daily,8.1,m/s,2026-06-04T07:10:05.666768
0PU14,TAFURI,40.680832,16.867779,2026-06-03,ws_max_daily,10.1,m/s,2026-06-04T07:10:05.666773
0PU14,TAFURI,40.680832,16.867779,2026-06-03,ws_mean_daily,1.7,m/s,2026-06-04T07:10:04.544564
0PU14,TAFURI,40.680832,16.867779,2026-06-03,ws_mean_daily,3.1,m/s,2026-06-04T07:10:04.544572
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,precip_sum_daily,0.0,mm,2026-06-04T07:10:02.076158
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,rh_max_daily,92.0,%,2026-06-04T07:10:00.566676
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,rh_mean_daily,63.0,%,2026-06-04T07:09:59.546908
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,rh_min_daily,34.0,%,2026-06-04T07:09:58.271887
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,rs_sum_daily,17335.0,W/m²,2026-06-04T07:10:03.060008
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,tair_max_daily,31.1,°C,2026-06-04T07:09:57.318732
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,tair_mean_daily,22.9,°C,2026-06-04T07:09:56.363516
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,tair_min_daily,14.3,°C,2026-06-04T07:09:55.404062
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,ws_max_daily,11.6,m/s,2026-06-04T07:10:05.666778
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,ws_max_daily,5.6,m/s,2026-06-04T07:10:05.666786
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,ws_mean_daily,0.7,m/s,2026-06-04T07:10:04.544581
0PU16,ANDRIA,41.202221,16.201944,2026-06-03,ws_mean_daily,2.6,m/s,2026-06-04T07:10:04.544586
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,precip_sum_daily,0.0,mm,2026-06-04T07:10:02.076179
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,rh_max_daily,96.0,%,2026-06-04T07:10:00.566679
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,rh_mean_daily,67.0,%,2026-06-04T07:09:59.546912
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,rh_min_daily,40.0,%,2026-06-04T07:09:58.271890
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,tair_max_daily,28.6,°C,2026-06-04T07:09:57.318739
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,tair_mean_daily,22.2,°C,2026-06-04T07:09:56.363523
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,tair_min_daily,15.4,°C,2026-06-04T07:09:55.404072
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,ws_max_daily,7.3,m/s,2026-06-04T07:10:05.666794
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,ws_max_daily,10.0,m/s,2026-06-04T07:10:05.666800
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,ws_mean_daily,1.5,m/s,2026-06-04T07:10:04.544590
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-06-03,ws_mean_daily,2.8,m/s,2026-06-04T07:10:04.544596
0PU18,MONOPOLI,40.919445,17.294443,2026-06-03,precip_sum_daily,0.8,mm,2026-06-04T07:10:02.076182
0PU18,MONOPOLI,40.919445,17.294443,2026-06-03,rh_max_daily,90.0,%,2026-06-04T07:10:00.566682
