station_id,station_name,latitude,longitude,datetime_local,variable,value,unit,timestamp_utc_extraction
0PU14,TAFURI,40.680832,16.867779,2026-05-21 05:00:00,ws_10m_hourly,6.3,m/s,2026-05-21T08:05:11.829900
0PU14,TAFURI,40.680832,16.867779,2026-05-21 05:00:00,ws_2m_hourly,3.2,m/s,2026-05-21T08:05:11.829896
0PU16,ANDRIA,41.202221,16.201944,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143360
0PU16,ANDRIA,41.202221,16.201944,2026-05-21 05:00:00,rh_hourly,75.0,%,2026-05-21T08:05:03.964961
0PU16,ANDRIA,41.202221,16.201944,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235286
0PU16,ANDRIA,41.202221,16.201944,2026-05-21 05:00:00,tair_hourly,13.8,°C,2026-05-21T08:05:02.582923
0PU16,ANDRIA,41.202221,16.201944,2026-05-21 05:00:00,ws_10m_hourly,2.7,m/s,2026-05-21T08:05:11.830035
0PU16,ANDRIA,41.202221,16.201944,2026-05-21 05:00:00,ws_2m_hourly,0.6,m/s,2026-05-21T08:05:11.830032
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143422
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-05-21 05:00:00,rh_hourly,77.0,%,2026-05-21T08:05:03.964978
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235298
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-05-21 05:00:00,tair_hourly,13.5,°C,2026-05-21T08:05:02.582937
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-05-21 05:00:00,ws_10m_hourly,3.3,m/s,2026-05-21T08:05:11.830162
0PU17,OSTUNI-SAROLO,40.688332,17.413889,2026-05-21 05:00:00,ws_2m_hourly,1.3,m/s,2026-05-21T08:05:11.830159
0PU18,MONOPOLI,40.919445,17.294443,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143493
0PU18,MONOPOLI,40.919445,17.294443,2026-05-21 05:00:00,rh_hourly,69.0,%,2026-05-21T08:05:03.964991
0PU18,MONOPOLI,40.919445,17.294443,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235311
0PU18,MONOPOLI,40.919445,17.294443,2026-05-21 05:00:00,tair_hourly,15.3,°C,2026-05-21T08:05:02.582972
0PU18,MONOPOLI,40.919445,17.294443,2026-05-21 05:00:00,ws_10m_hourly,3.9,m/s,2026-05-21T08:05:11.830290
0PU18,MONOPOLI,40.919445,17.294443,2026-05-21 05:00:00,ws_2m_hourly,2.2,m/s,2026-05-21T08:05:11.830287
0PU19,TERLIZZI,41.120834,16.549168,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143553
0PU19,TERLIZZI,41.120834,16.549168,2026-05-21 05:00:00,rh_hourly,69.0,%,2026-05-21T08:05:03.965012
0PU19,TERLIZZI,41.120834,16.549168,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235325
0PU19,TERLIZZI,41.120834,16.549168,2026-05-21 05:00:00,tair_hourly,14.9,°C,2026-05-21T08:05:02.582987
0PU19,TERLIZZI,41.120834,16.549168,2026-05-21 05:00:00,ws_10m_hourly,1.5,m/s,2026-05-21T08:05:11.830419
0PU19,TERLIZZI,41.120834,16.549168,2026-05-21 05:00:00,ws_2m_hourly,0.5,m/s,2026-05-21T08:05:11.830416
0PU20,VILLA CASTELLI,40.553055,17.504444,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143614
0PU20,VILLA CASTELLI,40.553055,17.504444,2026-05-21 05:00:00,rh_hourly,65.0,%,2026-05-21T08:05:03.965024
0PU20,VILLA CASTELLI,40.553055,17.504444,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235340
0PU20,VILLA CASTELLI,40.553055,17.504444,2026-05-21 05:00:00,tair_hourly,16.0,°C,2026-05-21T08:05:02.583003
0PU20,VILLA CASTELLI,40.553055,17.504444,2026-05-21 05:00:00,ws_10m_hourly,5.4,m/s,2026-05-21T08:05:11.830545
0PU20,VILLA CASTELLI,40.553055,17.504444,2026-05-21 05:00:00,ws_2m_hourly,3.0,m/s,2026-05-21T08:05:11.830541
0PU21,CAROVIGNO,40.691944,17.630278,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143679
0PU21,CAROVIGNO,40.691944,17.630278,2026-05-21 05:00:00,rh_hourly,70.0,%,2026-05-21T08:05:03.965036
0PU21,CAROVIGNO,40.691944,17.630278,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235353
0PU21,CAROVIGNO,40.691944,17.630278,2026-05-21 05:00:00,tair_hourly,16.2,°C,2026-05-21T08:05:02.583015
0PU21,CAROVIGNO,40.691944,17.630278,2026-05-21 05:00:00,ws_10m_hourly,3.9,m/s,2026-05-21T08:05:11.830675
0PU21,CAROVIGNO,40.691944,17.630278,2026-05-21 05:00:00,ws_2m_hourly,1.1,m/s,2026-05-21T08:05:11.830672
0PU22,APRICENA,41.773335,15.438611,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143744
0PU22,APRICENA,41.773335,15.438611,2026-05-21 05:00:00,rh_hourly,82.0,%,2026-05-21T08:05:03.965050
0PU22,APRICENA,41.773335,15.438611,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235369
0PU22,APRICENA,41.773335,15.438611,2026-05-21 05:00:00,tair_hourly,13.6,°C,2026-05-21T08:05:02.583030
0PU22,APRICENA,41.773335,15.438611,2026-05-21 05:00:00,ws_10m_hourly,1.9,m/s,2026-05-21T08:05:11.830813
0PU22,APRICENA,41.773335,15.438611,2026-05-21 05:00:00,ws_2m_hourly,0.1,m/s,2026-05-21T08:05:11.830809
0PU23,MANFREDONIA,41.541389,15.885833,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143807
0PU23,MANFREDONIA,41.541389,15.885833,2026-05-21 05:00:00,rh_hourly,74.0,%,2026-05-21T08:05:03.965064
0PU23,MANFREDONIA,41.541389,15.885833,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235381
0PU23,MANFREDONIA,41.541389,15.885833,2026-05-21 05:00:00,tair_hourly,16.1,°C,2026-05-21T08:05:02.583044
0PU23,MANFREDONIA,41.541389,15.885833,2026-05-21 05:00:00,ws_10m_hourly,2.6,m/s,2026-05-21T08:05:11.830950
0PU23,MANFREDONIA,41.541389,15.885833,2026-05-21 05:00:00,ws_2m_hourly,0.4,m/s,2026-05-21T08:05:11.830935
0PU25,NOCIGLIA,40.034443,18.313057,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143869
0PU25,NOCIGLIA,40.034443,18.313057,2026-05-21 05:00:00,rh_hourly,79.0,%,2026-05-21T08:05:03.965079
0PU25,NOCIGLIA,40.034443,18.313057,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235394
0PU25,NOCIGLIA,40.034443,18.313057,2026-05-21 05:00:00,tair_hourly,15.4,°C,2026-05-21T08:05:02.583057
0PU25,NOCIGLIA,40.034443,18.313057,2026-05-21 05:00:00,ws_10m_hourly,3.5,m/s,2026-05-21T08:05:11.831075
0PU25,NOCIGLIA,40.034443,18.313057,2026-05-21 05:00:00,ws_2m_hourly,1.7,m/s,2026-05-21T08:05:11.831072
0PU27,GROTTAGLIE,40.53389,17.362778,2026-05-21 05:00:00,rh_hourly,63.0,%,2026-05-21T08:05:03.965092
0PU27,GROTTAGLIE,40.53389,17.362778,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235409
0PU27,GROTTAGLIE,40.53389,17.362778,2026-05-21 05:00:00,tair_hourly,16.6,°C,2026-05-21T08:05:02.583073
0PU27,GROTTAGLIE,40.53389,17.362778,2026-05-21 05:00:00,ws_10m_hourly,4.7,m/s,2026-05-21T08:05:11.831203
0PU27,GROTTAGLIE,40.53389,17.362778,2026-05-21 05:00:00,ws_2m_hourly,2.7,m/s,2026-05-21T08:05:11.831200
0PU28,TRANI,41.247501,16.415556,2026-05-21 05:00:00,precip_10min_interval,0.0,mm,2026-05-21T08:05:06.143935
0PU28,TRANI,41.247501,16.415556,2026-05-21 05:00:00,rh_hourly,68.0,%,2026-05-21T08:05:03.965142
0PU28,TRANI,41.247501,16.415556,2026-05-21 05:00:00,rs_hourly,0.0,W/m²,2026-05-21T08:05:09.235418
0PU28,TRANI,41.247501,16.415556,2026-05-21 05:00:00,tair_hourly,15.5,°C,2026-05-21T08:05:02.583085
