Data,BF_Precipitazione (mm),BF_Temperatura 2 Metri (°C),BF_Umidità 2 Metri (%),DV_Precipitazione (mm),DV_Temperatura 2 Metri (°C),DV_Umidità 2 Metri (%),EL_Precipitazione (mm),EL_Temperatura 2 Metri (°C),EL_Umidità 2 Metri (%),PC_Precipitazione (mm),PC_Temperatura 2 Metri (°C),PC_Umidità 2 Metri (%),PA_Precipitazione (mm),PA_Temperatura 2 Metri (°C),PA_Umidità 2 Metri (%),RG_Precipitazione (mm),RG_Temperatura 2 Metri (°C),RG_Umidità 2 Metri (%),TA_Precipitazione (mm),TA_Temperatura 2 Metri (°C),TA_Umidità 2 Metri (%),TB_Precipitazione (mm),TB_Temperatura 2 Metri (°C),TB_Umidità 2 Metri (%),TC_Precipitazione (mm),TC_Temperatura 2 Metri (°C),TC_Umidità 2 Metri (%),TS_Precipitazione (mm),TS_Temperatura 2 Metri (°C),TS_Umidità 2 Metri (%),UC_Precipitazione (mm),UC_Temperatura 2 Metri (°C),UC_Umidità 2 Metri (%),VA_Precipitazione (mm),VA_Temperatura 2 Metri (°C),VA_Umidità 2 Metri (%),VB_Precipitazione (mm),VB_Temperatura 2 Metri (°C),VB_Umidità 2 Metri (%),station_id,station_name,timestamp_utc,timestamp_local,US_Precipitazione (mm),US_Temperatura 2 Metri (°C),US_Umidità 2 Metri (%),DB_Precipitazione (mm),DB_Temperatura 2 Metri (°C),DB_Umidità 2 Metri (%)
20/05/2026,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0 mm,13.1 °C,88 %,0PU23,MANFREDONIA,2026-05-20T15:39:36.375316,2026-05-20T15:39:36.375327,,,,,,
20/05/2026,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0 mm,14.3 °C,92 %,0PU25,NOCIGLIA,2026-05-20T15:39:42.247653,2026-05-20T15:39:42.247664,,,,,,
20/05/2026,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,,11.5 °C,81 %,0PU27,GROTTAGLIE,2026-05-20T15:39:47.537700,2026-05-20T15:39:47.537711,,,,,,
20/05/2026,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0 mm,15.7 °C,74 %,0PU28,TRANI,2026-05-20T15:39:53.729072,2026-05-20T15:39:53.729083,,,,,,
20/05/2026,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0 mm,13.9 °C,73 %,0PU30,NOICATTARO,2026-05-20T15:39:59.596991,2026-05-20T15:39:59.597004,,,,,,
20/05/2026,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0 mm,12.6 °C,72 %,0PU31,ALBEROBELLO,2026-05-20T15:40:05.466770,2026-05-20T15:40:05.466781,,,,,,
20/05/2026,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0 mm,16.2 °C,75 %,0PU33,MOCCARI,2026-05-20T15:40:16.420029,2026-05-20T15:40:16.420042,,,,,,
20/05/2026,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0 mm,14 °C,67 %,0PU34,LATIANO,2026-05-20T15:40:22.289610,2026-05-20T15:40:22.289621,,,,,,
20/05/2026,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0 mm,16.3 °C,100 %,0PU35,SAN VITO DEI NORMANNI,2026-05-20T15:40:28.210774,2026-05-20T15:40:28.210785,,,,,,
20/05/2026,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0 mm,13.6 °C,89 %,0PU36,VILLANOVA,2026-05-20T15:40:34.407198,2026-05-20T15:40:34.407210,,,,,,
20/05/2026,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0 mm,7.6 °C,84 %,0PU37,TROIA,2026-05-20T15:40:40.383504,2026-05-20T15:40:40.383516,,,,,,
20/05/2026,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0 mm,10.1 °C,90 %,0PU38,BORGO LA ROCCA,2026-05-20T15:40:46.371678,2026-05-20T15:40:46.371689,,,,,,
20/05/2026,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0 mm,15.5 °C,84 %,0PU40,ARCHE,2026-05-20T15:40:52.354667,2026-05-20T15:40:52.354679,,,,,,
20/05/2026,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0 mm,16 °C,89 %,0PU41,LECCE,2026-05-20T15:40:58.332120,2026-05-20T15:40:58.332131,,,,,,
20/05/2026,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0 mm,12.9 °C,88 %,0PU42,SALICE SALENTINO,2026-05-20T15:41:04.335849,2026-05-20T15:41:04.335860,,,,,,
